Date,Region,Branch,Product,Category,Customer_Segment,Quantity,Discount,Sales,Cost,Profit
2026-05-18,North,B12,P-D,Food,VIP,7,0.006,2781.800,1902.950,878.850
2026-05-31,Central,B12,P-A,Home,New,7,0.101,5036.000,3473.300,1562.710
2026-05-16,North,B07,P-E,Sports,New,6,0.029,6029.290,3788.710,2240.580
2026-06-11,South,B12,P-D,Food,Returning,7,0.037,2374.220,1675.820,698.400
2026-02-13,Central,B12,P-D,Food,New,6,0.034,1842.340,1297.380,544.960
2026-06-28,East,B05,P-A,Home,New,4,0.068,3305.880,2199.800,1106.080
2026-06-19,South,B01,P-E,Sports,Returning,1,0.124,1190.420,829.210,361.210
2026-06-25,Central,B04,P-D,Food,New,3,0.047,1096.410,782.430,313.980
2026-06-16,Central,B12,P-E,Sports,Returning,2,0.037,2583.810,1636.690,947.120
2026-01-30,South,B09,P-C,Beauty,Returning,2,0.085,1072.060,644.250,427.810
2026-01-14,Central,B08,P-B,Electronics,New,6,0.067,11234.290,8787.070,2447.220
2026-04-07,South,B11,P-C,Beauty,Returning,3,0.044,2050.260,1179.780,870.480
2026-05-03,South,B06,P-D,Food,Returning,4,0.118,1115.730,859.970,255.760
2026-02-20,Central,B06,P-E,Sports,New,3,0.129,3040.210,2130.270,909.940
2026-05-21,Central,B03,P-B,Electronics,Returning,4,0.144,6767.160,5769.270,997.890
2026-05-09,North,B07,P-A,Home,New,4,0.121,3394.400,2394.430,999.970
2026-05-28,Central,B08,P-A,Home,VIP,5,0.014,4349.120,2735.450,1613.670
2026-03-29,South,B12,P-E,Sports,Returning,2,0.008,2215.540,1362.170,853.370
2026-06-01,South,B10,P-D,Food,New,2,0.002,701.080,477.600,223.480
2026-04-23,Central,B09,P-D,Food,VIP,7,0.056,2459.790,1772.720,687.070
2026-06-14,South,B08,P-B,Electronics,Returning,3,0.149,4823.930,4593.550,230.380
2026-06-06,South,B01,P-B,Electronics,Returning,2,0.160,3147.750,3035.250,112.500
2026-01-12,Central,B08,P-A,Home,VIP,7,0.073,5725.840,3828.920,1896.920
2026-04-17,East,B01,P-D,Food,Returning,1,0.045,318.300,226.550,91.760
2026-02-19,Central,B12,P-E,Sports,Returning,5,0.073,5893.440,3876.970,2016.470
2026-05-31,East,B03,P-D,Food,Returning,5,0.066,1564.090,1139.210,424.870
2026-06-18,East,B07,P-E,Sports,Returning,2,0.072,2306.450,1516.140,790.310
2026-04-17,South,B06,P-A,Home,Returning,1,0.061,930.250,614.030,316.220
2026-03-23,South,B11,P-C,Beauty,Returning,6,0.032,4055.580,2303.470,1752.110
2026-03-14,Central,B07,P-A,Home,New,4,0.060,3651.460,2408.720,1242.750
2026-01-23,North,B06,P-E,Sports,Returning,7,0.009,9414.820,5796.440,3618.380
2026-03-17,Central,B04,P-D,Food,Returning,3,0.145,805.430,640.220,165.210
2026-03-26,East,B05,P-C,Beauty,Returning,7,0.026,4113.600,2321.790,1791.810
2026-04-21,South,B02,P-A,Home,New,6,0.147,5203.040,3781.280,1421.750
2026-02-15,North,B01,P-D,Food,New,3,0.052,948.440,680.090,268.350
2026-06-09,South,B12,P-E,Sports,Returning,6,0.089,6229.780,4172.480,2057.290
2026-06-13,South,B11,P-B,Electronics,New,4,0.194,7025.540,7060.390,-34.850
2026-01-06,South,B09,P-B,Electronics,New,2,0.178,3788.500,3734.230,54.270
2026-06-23,East,B02,P-B,Electronics,Returning,2,0.133,3402.850,2865.230,537.620
2026-01-27,North,B10,P-D,Food,Returning,3,0.096,967.380,727.560,239.830
